,locality,type of property,subtype of property,price,number_rooms,living_area,kitchen,furnished,fireplace,terrace,terrace_area,garden,garden_area,surface_land,number_facades,swimming_pool,building_state
47,Torhout,APARTMENT,APARTMENT,159000.0,2.0,86.0,INSTALLED,False,,,,,,,,False,GOOD
48,SOUGNÉ-REMOUCHAMPS,HOUSE,HOUSE,219500.0,2.0,120.0,INSTALLED,,-1.0,True,25.0,True,25.0,110,2,,GOOD
49,Esneux,HOUSE,HOUSE,110000.0,2.0,60.0,NOT_INSTALLED,,-1.0,,,,,452,4,,TO_RENOVATE
50,Hoboken,HOUSE,HOUSE,275000.0,2.0,150.0,,,-1.0,,,True,25.0,98,2,,AS_NEW
51,Hoboken,HOUSE,HOUSE,299000.0,3.0,151.0,,,-1.0,,,True,90.0,210,2,,TO_RENOVATE
52,Somme-Leuze,HOUSE,HOUSE,269800.0,3.0,130.0,NOT_INSTALLED,False,,True,20.0,True,390.0,390,3,False,AS_NEW
53,Uccle,APARTMENT,APARTMENT,380000.0,2.0,93.0,INSTALLED,False,,True,,,,UNKNOWN,2,False,AS_NEW
54,Waterloo,APARTMENT,APARTMENT,235000.0,2.0,80.0,,False,1.0,True,16.0,,,,2,,TO_RESTORE
55,Waregem,HOUSE,HOUSE,349000.0,4.0,170.0,INSTALLED,,1.0,True,,True,,0,4,,GOOD
56,Ixelles,HOUSE,HOUSE,735000.0,5.0,,NOT_INSTALLED,False,,,,True,70.0,145,2,,TO_RENOVATE
57,Angleur,HOUSE,HOUSE,139000.0,3.0,104.0,0,,-1.0,True,17.0,True,145.0,200,2,,GOOD
58,SINT-TRUIDEN,APARTMENT,APARTMENT,235000.0,2.0,84.0,SEMI_EQUIPPED,,-1.0,True,4.0,,,,3,,
59,ROCOURT,HOUSE,HOUSE,199000.0,3.0,,INSTALLED,,-1.0,,,,,140,,,
60,Chaumont-Gistoux,HOUSE,VILLA,385000.0,3.0,125.0,INSTALLED,False,,True,20.0,True,900.0,1043,4,False,GOOD
61,Aywaille,HOUSE,VILLA,399000.0,3.0,148.0,USA_HYPER_EQUIPPED,False,,True,40.0,True,750.0,1278,4,True,GOOD
62,Noorderwijk,HOUSE_GROUP,HOUSE_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
63,Oud-Heverlee,HOUSE,MIXED_USE_BUILDING,425000.0,3.0,278.0,USA_HYPER_EQUIPPED,,,True,,True,300.0,457,3,False,GOOD
64,Machelen (vlaams-brabant),HOUSE,HOUSE,495000.0,4.0,202.0,USA_HYPER_EQUIPPED,False,,True,,True,824.0,955,3,False,TO_RENOVATE
65,Lievegem,HOUSE,HOUSE,495000.0,4.0,194.0,USA_HYPER_EQUIPPED,False,,True,66.0,True,630.0,975,3,False,GOOD
66,Oud-Heverlee (Blanden),HOUSE,VILLA,645000.0,4.0,330.0,HYPER_EQUIPPED,,,True,45.0,True,1350.0,1674,4,False,TO_BE_DONE_UP
67,Wezembeek-Oppem,HOUSE_GROUP,HOUSE_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
68,Woluwe-Saint-Pierre,HOUSE,HOUSE,1030000.0,4.0,187.0,USA_INSTALLED,False,,True,,True,311.0,388,3,False,AS_NEW
69,Brugge,HOUSE,EXCEPTIONAL_PROPERTY,2200000.0,5.0,439.0,INSTALLED,False,1.0,True,50.0,True,466.0,735,2,False,JUST_RENOVATED
70,Rixensart,HOUSE,VILLA,480000.0,4.0,191.0,SEMI_EQUIPPED,False,,True,,True,696.0,696,4,False,TO_BE_DONE_UP
71,Remicourt,HOUSE,HOUSE,280000.0,4.0,205.0,INSTALLED,False,,True,35.0,True,200.0,456,3,False,GOOD
72,Berlaar,HOUSE_GROUP,HOUSE_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
73,Dilbeek,HOUSE,HOUSE,349000.0,2.0,215.0,INSTALLED,,,True,,,,244,3,False,TO_BE_DONE_UP
74,Nivelles,HOUSE,HOUSE,368000.0,3.0,221.0,SEMI_EQUIPPED,False,-1.0,True,7.0,True,,489,4,,TO_RENOVATE
75,Nivelles,HOUSE,HOUSE,478000.0,3.0,221.0,SEMI_EQUIPPED,,-1.0,True,7.0,True,,952,4,,TO_RENOVATE
76,Ronse,HOUSE,EXCEPTIONAL_PROPERTY,525000.0,4.0,196.0,HYPER_EQUIPPED,False,,True,40.0,True,5260.0,195,4,False,GOOD
77,Watermael-Boitsfort,HOUSE,HOUSE,1295000.0,4.0,249.0,HYPER_EQUIPPED,False,,True,22.0,True,165.0,245,2,False,AS_NEW
78,Seraing,HOUSE,HOUSE,149000.0,2.0,110.0,SEMI_EQUIPPED,False,,True,13.0,True,54.0,185,2,False,GOOD
79,Ronse,HOUSE,HOUSE,179000.0,3.0,117.0,INSTALLED,False,,,,True,17.0,80,2,False,JUST_RENOVATED
80,Vielsalm,HOUSE,HOUSE,180000.0,2.0,117.0,SEMI_EQUIPPED,False,,True,20.0,True,409.0,504,3,False,TO_BE_DONE_UP
81,Olen,HOUSE_GROUP,HOUSE_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
82,Wielsbeke,HOUSE_GROUP,HOUSE_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
83,Zwevegem,HOUSE_GROUP,HOUSE_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
84,Olen,HOUSE_GROUP,HOUSE_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
85,Ronse,HOUSE,APARTMENT_BLOCK,349900.0,5.0,226.0,INSTALLED,False,,,,True,18.0,151,2,False,AS_NEW
86,Dilbeek,HOUSE,TOWN_HOUSE,369000.0,3.0,157.0,INSTALLED,,,True,,,,227,3,False,GOOD
87,Booischot,HOUSE_GROUP,HOUSE_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
88,Enghien,HOUSE_GROUP,HOUSE_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
89,,,,,,,,,,,,,,,,,
90,SOUGNÉ-REMOUCHAMPS,HOUSE,HOUSE,219500.0,2.0,120.0,INSTALLED,,-1.0,True,25.0,True,25.0,110,2,,GOOD
91,Esneux,HOUSE,HOUSE,110000.0,2.0,60.0,NOT_INSTALLED,,-1.0,,,,,452,4,,TO_RENOVATE
92,Hoboken,HOUSE,HOUSE,275000.0,2.0,150.0,,,-1.0,,,True,25.0,98,2,,AS_NEW
93,Hoboken,HOUSE,HOUSE,299000.0,3.0,151.0,,,-1.0,,,True,90.0,210,2,,TO_RENOVATE
94,Somme-Leuze,HOUSE,HOUSE,269800.0,3.0,130.0,NOT_INSTALLED,False,,True,20.0,True,390.0,390,3,False,AS_NEW
95,Uccle,APARTMENT,APARTMENT,380000.0,2.0,93.0,INSTALLED,False,,True,,,,UNKNOWN,2,False,AS_NEW
96,Waterloo,APARTMENT,APARTMENT,235000.0,2.0,80.0,,False,1.0,True,16.0,,,,2,,TO_RESTORE
97,Waregem,HOUSE,HOUSE,349000.0,4.0,170.0,INSTALLED,,1.0,True,,True,,0,4,,GOOD
98,Ixelles,HOUSE,HOUSE,735000.0,5.0,,NOT_INSTALLED,False,,,,True,70.0,145,2,,TO_RENOVATE
99,Angleur,HOUSE,HOUSE,139000.0,3.0,104.0,0,,-1.0,True,17.0,True,145.0,200,2,,GOOD
100,SINT-TRUIDEN,APARTMENT,APARTMENT,235000.0,2.0,84.0,SEMI_EQUIPPED,,-1.0,True,4.0,,,,3,,
101,ROCOURT,HOUSE,HOUSE,199000.0,3.0,,INSTALLED,,-1.0,,,,,140,,,
102,Kortrijk,APARTMENT,APARTMENT,249000.0,2.0,80.0,SEMI_EQUIPPED,,-1.0,,,,,UNKNOWN,2,,GOOD
103,Schilde,APARTMENT_GROUP,APARTMENT_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
