,locality,type of property,subtype of property,price,number_rooms,living_area,kitchen,furnished,fireplace,terrace,terrace_area,garden,garden_area,surface_land,number_facades,swimming_pool,building_state
622,Villers-la-Ville,HOUSE,HOUSE,375000.0,6.0,194.0,INSTALLED,False,,True,104.0,True,1269.0,1380,4,,TO_BE_DONE_UP
623,Herent,HOUSE,MIXED_USE_BUILDING,375000.0,4.0,348.0,INSTALLED,,-1.0,,,True,128.0,314,2,,GOOD
624,Herent,HOUSE,HOUSE,375000.0,4.0,348.0,INSTALLED,,-1.0,,,True,128.0,314,2,,GOOD
625,Ronse,HOUSE,MIXED_USE_BUILDING,375000.0,6.0,235.0,SEMI_EQUIPPED,False,,True,20.0,True,350.0,650,3,False,TO_BE_DONE_UP
626,Eupen,HOUSE_GROUP,HOUSE_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
627,Affligem,HOUSE_GROUP,HOUSE_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
628,Liège,HOUSE,HOUSE,380000.0,5.0,216.0,USA_INSTALLED,,1.0,,,True,220.0,537,4,False,AS_NEW
629,Middelkerke,HOUSE_GROUP,HOUSE_GROUP,,,,0,False,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
630,Saint-Nicolas,HOUSE,HOUSE,195000.0,2.0,133.0,0,,,True,,True,154.0,362,2,,GOOD
631,Antwerpen Berchem,HOUSE,HOUSE,399000.0,4.0,141.0,0,False,,,,True,115.0,200,2,,TO_BE_DONE_UP
632,Knokke-Heist Knokke,HOUSE,VILLA,4275000.0,4.0,396.0,HYPER_EQUIPPED,True,,True,,,,372,3,,AS_NEW
633,Lasne,HOUSE,HOUSE,550000.0,4.0,201.0,0,False,,True,,True,311.0,4800,2,,
634,Sint-Job-in-'t-Goor,HOUSE,HOUSE,399000.0,2.0,135.0,,False,,True,,,,725,3,,
635,Hasselt,HOUSE,HOUSE,199000.0,3.0,108.0,0,False,,True,,,,85,2,False,TO_RENOVATE
636,Amarinthos,HOUSE,HOUSE,165000.0,3.0,180.0,0,False,1.0,True,,,,0,,False,GOOD
637,Antwerpen,APARTMENT,FLAT_STUDIO,169500.0,1.0,,INSTALLED,False,,,,,,,,,GOOD
638,Kampenhout,HOUSE,EXCEPTIONAL_PROPERTY,710000.0,3.0,427.0,HYPER_EQUIPPED,False,,,,,,453,4,,AS_NEW
639,Kortemark,APARTMENT,APARTMENT,225000.0,2.0,125.0,0,False,,True,,,,UNKNOWN,4,False,
640,Ninove,HOUSE,HOUSE,189000.0,2.0,83.0,HYPER_EQUIPPED,False,,True,8.0,,,100,2,,GOOD
641,Saint-Josse-ten-Noode,APARTMENT,GROUND_FLOOR,125000.0,1.0,70.0,,False,,,,,,UNKNOWN,2,False,TO_BE_DONE_UP
642,Leuven,HOUSE,HOUSE,595000.0,3.0,135.0,0,False,,True,,,,62,2,,AS_NEW
643,Leuven,HOUSE,HOUSE,950000.0,5.0,233.0,HYPER_EQUIPPED,True,,True,,,,238,2,,AS_NEW
644,Woluwe-Saint-Lambert,APARTMENT,APARTMENT,240000.0,1.0,60.0,HYPER_EQUIPPED,,,True,4.0,,,UNKNOWN,2,,GOOD
645,Andenne,APARTMENT,GROUND_FLOOR,124000.0,1.0,58.0,0,False,,,,True,50.0,UNKNOWN,2,,AS_NEW
646,Andenne,APARTMENT,DUPLEX,149000.0,3.0,104.0,0,False,,,,True,50.0,UNKNOWN,2,,AS_NEW
647,Bruxelles,APARTMENT,FLAT_STUDIO,115000.0,0.0,33.0,INSTALLED,False,,,,,,UNKNOWN,,False,JUST_RENOVATED
648,Forest,APARTMENT,APARTMENT,360000.0,2.0,106.0,SEMI_EQUIPPED,False,,True,5.0,,,UNKNOWN,4,False,AS_NEW
649,Saint-Gilles,APARTMENT,APARTMENT,350000.0,2.0,91.0,HYPER_EQUIPPED,False,,,,,,UNKNOWN,3,False,AS_NEW
650,Uccle,HOUSE,MANSION,1650000.0,6.0,449.0,USA_HYPER_EQUIPPED,False,,True,15.0,True,280.0,450,2,False,AS_NEW
651,Rixensart,HOUSE,HOUSE,399000.0,3.0,173.0,SEMI_EQUIPPED,False,,True,15.0,True,333.0,428,3,False,TO_RENOVATE
652,,,,,,,,,,,,,,,,,
653,Limbourg,HOUSE,HOUSE,399000.0,5.0,220.0,,False,,True,42.0,True,42.0,155,2,False,AS_NEW
654,Kinrooi,HOUSE,HOUSE,409000.0,4.0,,INSTALLED,,,True,,,,3100,4,,GOOD
655,Molenbeek-Saint-Jean,APARTMENT,APARTMENT,325000.0,3.0,110.0,USA_INSTALLED,False,,,,,,UNKNOWN,2,False,AS_NEW
656,,,,,,,,,,,,,,,,,
657,Namur,HOUSE,HOUSE,115000.0,3.0,68.0,SEMI_EQUIPPED,False,,,,,,29,2,False,TO_RENOVATE
658,"Rochefort, Belvaux",HOUSE,HOUSE,385000.0,3.0,173.0,USA_INSTALLED,False,,True,,,,2458,4,False,GOOD
659,Beerse,HOUSE,HOUSE,185000.0,2.0,120.0,HYPER_EQUIPPED,False,,True,40.0,True,34.0,0,3,False,TO_RENOVATE
660,Marche-en-Famenne,HOUSE_GROUP,HOUSE_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
661,Perwez,HOUSE_GROUP,HOUSE_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
662,Neupre,HOUSE,HOUSE,385000.0,4.0,249.0,HYPER_EQUIPPED,False,,True,120.0,True,345.0,730,3,False,GOOD
663,Huy,HOUSE,HOUSE,385000.0,6.0,300.0,INSTALLED,,-1.0,True,10.0,True,300.0,422,2,,AS_NEW
664,Huy,HOUSE,HOUSE,385000.0,6.0,300.0,INSTALLED,,-1.0,True,10.0,True,300.0,422,2,,AS_NEW
665,Averbode,HOUSE_GROUP,HOUSE_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
666,Grace-Hollogne,HOUSE,HOUSE,389000.0,4.0,194.0,HYPER_EQUIPPED,False,,True,62.0,True,750.0,1050,4,False,AS_NEW
667,Genappe Bousval,HOUSE,HOUSE,390000.0,4.0,195.0,INSTALLED,False,,True,8.0,True,1600.0,1745,4,False,TO_BE_DONE_UP
668,Aarschot,HOUSE,APARTMENT_BLOCK,390000.0,3.0,190.0,INSTALLED,,-1.0,True,20.0,True,60.0,373,3,,TO_BE_DONE_UP
669,Genappe,HOUSE,VILLA,395000.0,3.0,226.0,INSTALLED,False,,True,29.0,True,970.0,1135,4,False,GOOD
670,Kraainem,HOUSE,HOUSE,395000.0,3.0,140.0,NOT_INSTALLED,False,,True,10.0,True,120.0,212,2,False,TO_RENOVATE
671,Laakdal,HOUSE_GROUP,HOUSE_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
672,Bornem,HOUSE_GROUP,HOUSE_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
673,La Roche-en-Ardenne,HOUSE,VILLA,398000.0,3.0,170.0,HYPER_EQUIPPED,False,,True,35.0,True,1193.0,1193,4,False,GOOD
674,Waregem,HOUSE_GROUP,HOUSE_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
675,Waregem,HOUSE_GROUP,HOUSE_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
676,Vilvoorde,HOUSE,TOWN_HOUSE,399000.0,3.0,150.0,SEMI_EQUIPPED,False,,True,21.0,True,200.0,264,3,False,GOOD
677,Assesse,HOUSE_GROUP,HOUSE_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
678,Temse,HOUSE,HOUSE,399000.0,5.0,284.0,INSTALLED,,,True,12.0,True,40.0,222,2,False,AS_NEW
679,Anderlecht,HOUSE,HOUSE,400000.0,3.0,180.0,HYPER_EQUIPPED,False,,,,True,70.0,154,3,False,GOOD
680,Dilbeek,HOUSE,HOUSE,405000.0,3.0,134.0,SEMI_EQUIPPED,,,True,,True,684.0,684,4,False,TO_BE_DONE_UP
681,Molenbeek-Saint-Jean,HOUSE,HOUSE,408759.0,5.0,190.0,INSTALLED,False,,True,35.0,True,190.0,300,2,False,GOOD
682,ERPE-MERE,HOUSE_GROUP,HOUSE_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
683,Ronse,HOUSE,VILLA,419000.0,5.0,202.0,INSTALLED,False,,True,20.0,True,850.0,1541,4,False,GOOD
684,Poesele,HOUSE_GROUP,HOUSE_GROUP,,,,0,False,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
685,Heist-op-den-Berg,HOUSE_GROUP,HOUSE_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
686,Steenokkerzeel,HOUSE,BUNGALOW,425000.0,3.0,140.0,USA_INSTALLED,False,,True,24.0,True,260.0,800,4,False,TO_BE_DONE_UP
687,Mariakerke,HOUSE_GROUP,HOUSE_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
688,Arlon,HOUSE_GROUP,HOUSE_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
689,Arlon,HOUSE_GROUP,HOUSE_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
690,Oostende,APARTMENT,FLAT_STUDIO,195000.0,0.0,37.0,INSTALLED,False,,True,5.0,,,,4,False,JUST_RENOVATED
691,Heist-aan-Zee,APARTMENT,APARTMENT,269000.0,1.0,56.0,INSTALLED,False,,True,2.0,,,,2,False,GOOD
692,Borgerhout,APARTMENT,APARTMENT,185000.0,1.0,66.0,INSTALLED,False,,,,,,,2,False,GOOD
693,Beigem,APARTMENT,DUPLEX,515000.0,3.0,155.0,INSTALLED,False,,True,,,,,4,False,GOOD
694,Gent,HOUSE,HOUSE,449000.0,3.0,235.0,0,False,,,,True,,147,,False,TO_RENOVATE
695,Knokke,APARTMENT,APARTMENT,599000.0,4.0,150.0,INSTALLED,,,True,,,,,2,False,TO_BE_DONE_UP
696,Nieuwpoort,APARTMENT,APARTMENT,345000.0,2.0,73.0,INSTALLED,False,,True,,True,,,,False,
697,Lombardsijde,HOUSE,HOUSE,850000.0,7.0,469.0,INSTALLED,,,True,,,,920,,False,
698,Templeuve,HOUSE,HOUSE,1750000.0,5.0,975.0,HYPER_EQUIPPED,,,True,,,,1800,UNKNOWN,False,UNKNOWN
699,,,,,,,,,,,,,,,,,
700,Sint-Idesbald,APARTMENT,APARTMENT,325000.0,2.0,60.0,0,False,,True,,True,,,,False,JUST_RENOVATED
701,Ronse,HOUSE,MANSION,329000.0,4.0,,0,False,1.0,True,,,,272,,False,TO_BE_DONE_UP
702,Ronse,HOUSE,MANSION,699995.0,6.0,380.0,HYPER_EQUIPPED,,2.0,True,,True,,430,UNKNOWN,False,UNKNOWN
703,Nieuwpoort,APARTMENT,APARTMENT,239000.0,1.0,51.0,USA_INSTALLED,,,True,,,,,,False,AS_NEW
704,Heule,APARTMENT,APARTMENT,259000.0,3.0,124.0,0,,,True,,,,,,False,AS_NEW
705,Jodoigne,HOUSE,HOUSE,420000.0,3.0,153.0,HYPER_EQUIPPED,,,True,21.0,True,160.0,363,3,False,AS_NEW
706,Schaerbeek,APARTMENT,DUPLEX,299000.0,3.0,100.0,0,,-1.0,,,,,UNKNOWN,2,,
707,Schaerbeek,APARTMENT,APARTMENT,299000.0,3.0,100.0,0,,-1.0,,,,,UNKNOWN,2,,
708,Kortrijk,APARTMENT,APARTMENT,310000.0,3.0,125.0,INSTALLED,False,,,,,,,2,False,GOOD
709,Waterloo,HOUSE,HOUSE,395000.0,5.0,175.0,INSTALLED,False,,True,,,,267,2,,GOOD
710,Deurne,APARTMENT,APARTMENT,275000.0,3.0,85.0,USA_HYPER_EQUIPPED,False,,True,6.0,,,,2,False,AS_NEW
711,Sprimont,HOUSE,VILLA,629000.0,6.0,240.0,USA_HYPER_EQUIPPED,False,,True,40.0,True,1200.0,1370,4,False,AS_NEW
712,Sprimont,HOUSE,VILLA,629000.0,6.0,240.0,USA_HYPER_EQUIPPED,False,,True,40.0,True,1200.0,1370,4,False,AS_NEW
713,Tessenderlo,HOUSE,VILLA,499000.0,4.0,241.0,INSTALLED,,-1.0,,,True,,820,4,,JUST_RENOVATED
714,SINT-GENESIUS-RODE,APARTMENT,APARTMENT,495000.0,5.0,,,,-1.0,,,True,,UNKNOWN,3,,TO_BE_DONE_UP
715,SINT-GENESIUS-RODE,HOUSE,APARTMENT_BLOCK,495000.0,5.0,,,,-1.0,,,True,,271,3,,TO_BE_DONE_UP
716,Leuven,HOUSE,HOUSE,620000.0,5.0,266.0,SEMI_EQUIPPED,,-1.0,True,,True,,160,2,,TO_BE_DONE_UP
717,Stabroek,HOUSE,HOUSE,315000.0,3.0,120.0,SEMI_EQUIPPED,,-1.0,,,True,100.0,210,2,,GOOD
718,Niel,HOUSE,HOUSE,138000.0,2.0,97.0,SEMI_EQUIPPED,,-1.0,,,True,30.0,227,3,,TO_RENOVATE
719,Molenstede,HOUSE,HOUSE,295000.0,3.0,191.0,HYPER_EQUIPPED,,-1.0,,,True,,232,2,,AS_NEW
720,Ellezelles,HOUSE,HOUSE,429000.0,3.0,157.0,INSTALLED,False,,True,20.0,True,1030.0,1760,4,False,GOOD
721,Lille,HOUSE_GROUP,HOUSE_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
722,Woluwe-Saint-Pierre,HOUSE,HOUSE,430000.0,3.0,105.0,NOT_INSTALLED,False,,True,10.0,True,80.0,175,2,False,TO_RENOVATE
723,Glabbeek,HOUSE_GROUP,HOUSE_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
724,Crisnee,HOUSE,HOUSE,435000.0,5.0,160.0,INSTALLED,False,,True,86.0,True,1500.0,2000,3,False,AS_NEW
725,Roosdaal Onze-Lieve-Vrouw-Lombeek,HOUSE_GROUP,HOUSE_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
726,Bornem,HOUSE,HOUSE,438000.0,5.0,415.0,SEMI_EQUIPPED,,-1.0,True,30.0,True,,848,3,,TO_BE_DONE_UP
727,Andenne,HOUSE,VILLA,440000.0,3.0,195.0,INSTALLED,False,,True,30.0,True,515.0,870,4,False,AS_NEW
728,Tielt-Winge,HOUSE,HOUSE,442000.0,5.0,182.0,INSTALLED,False,,,,True,1800.0,4191,4,False,TO_RENOVATE
729,Liedekerke,HOUSE,HOUSE,447000.0,3.0,178.0,HYPER_EQUIPPED,False,,True,,,,487,2,False,AS_NEW
730,Anderlecht,HOUSE,HOUSE,448000.0,4.0,150.0,USA_INSTALLED,False,,True,16.0,True,14.0,130,2,False,GOOD
731,Molenbeek-Saint-Jean,HOUSE,HOUSE,449000.0,4.0,137.0,USA_HYPER_EQUIPPED,,,True,16.0,,,68,2,False,AS_NEW
732,Rixensart,HOUSE,VILLA,449000.0,6.0,185.0,INSTALLED,False,,True,21.0,True,206.0,302,4,False,TO_BE_DONE_UP
733,Geraardsbergen,HOUSE_GROUP,HOUSE_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
734,Neder-over-Heembeek,HOUSE,HOUSE,450000.0,3.0,110.0,INSTALLED,,,True,25.0,True,120.0,173,2,False,JUST_RENOVATED
735,Braine-le-Chateau,HOUSE,HOUSE,450000.0,4.0,144.0,USA_SEMI_EQUIPPED,False,,True,64.0,True,215.0,733,4,False,GOOD
736,Merchtem,HOUSE,TOWN_HOUSE,450000.0,3.0,225.0,HYPER_EQUIPPED,,1.0,True,50.0,True,180.0,295,2,False,AS_NEW
737,Embourg,HOUSE,HOUSE,450000.0,4.0,220.0,INSTALLED,,1.0,True,20.0,True,700.0,700,4,,GOOD
738,Puurs-Sint-Amands,HOUSE,EXCEPTIONAL_PROPERTY,455000.0,3.0,189.0,USA_HYPER_EQUIPPED,False,,True,,True,400.0,732,4,False,JUST_RENOVATED
739,Olen,HOUSE_GROUP,HOUSE_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
740,Vilvoorde,HOUSE,HOUSE,460000.0,5.0,250.0,NOT_INSTALLED,False,,True,20.0,True,110.0,220,2,False,TO_BE_DONE_UP
741,Bruxelles,HOUSE,HOUSE,465000.0,4.0,229.0,HYPER_EQUIPPED,False,,True,48.0,,,110,2,False,AS_NEW
742,Laeken,HOUSE,HOUSE,465000.0,4.0,229.0,HYPER_EQUIPPED,False,,True,48.0,,,110,2,False,AS_NEW
743,Zemst,HOUSE,HOUSE,465000.0,4.0,242.0,USA_HYPER_EQUIPPED,False,,True,,True,400.0,792,4,False,GOOD
744,Antwerp,HOUSE,MIXED_USE_BUILDING,465000.0,3.0,185.0,INSTALLED,,-1.0,True,6.0,,,86,2,,GOOD
745,Schilde 's-Gravenwezel,HOUSE_GROUP,HOUSE_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
746,Rochefort,HOUSE,HOUSE,465000.0,5.0,255.0,INSTALLED,,,True,,True,10264.0,5922,4,False,TO_BE_DONE_UP
747,Tielt-Winge,HOUSE_GROUP,HOUSE_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
748,,,,,,,,,,,,,,,,,
749,Sint-Niklaas,HOUSE_GROUP,HOUSE_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
750,Chiny,HOUSE,HOUSE,356000.0,3.0,354.0,NOT_INSTALLED,,-1.0,,,True,,1385,2,,TO_BE_DONE_UP
751,Woluwe-Saint-Pierre,HOUSE,VILLA,1095000.0,5.0,265.0,HYPER_EQUIPPED,False,,True,24.0,True,300.0,400,4,,TO_BE_DONE_UP
752,Antwerp,HOUSE,HOUSE,890000.0,5.0,507.0,HYPER_EQUIPPED,False,,True,,,,585,4,False,
753,Berlare,HOUSE,HOUSE,299000.0,3.0,168.0,HYPER_EQUIPPED,False,,True,,,,243,2,,GOOD
754,Affligem,HOUSE,HOUSE,299000.0,2.0,210.0,USA_HYPER_EQUIPPED,,,True,,True,100.0,240,2,,AS_NEW
755,Molenbeek-Saint-Jean,APARTMENT,FLAT_STUDIO,160000.0,0.0,35.0,0,,,,,,,UNKNOWN,,False,AS_NEW
756,Rixensart,HOUSE,VILLA,480000.0,4.0,191.0,SEMI_EQUIPPED,False,,True,,True,696.0,696,4,False,TO_BE_DONE_UP
757,Beveren-Waas,APARTMENT,APARTMENT,295000.0,4.0,,INSTALLED,,,,,,,UNKNOWN,,,TO_RENOVATE
758,Trazegnies,HOUSE,HOUSE,165000.0,2.0,128.0,NOT_INSTALLED,False,,True,,True,3302.0,330,4,False,TO_BE_DONE_UP
759,Couillet,HOUSE,HOUSE,295000.0,4.0,355.0,INSTALLED,False,,True,,True,410.0,410,3,False,GOOD
760,Tournai,HOUSE,VILLA,650000.0,5.0,330.0,INSTALLED,False,,True,,,,3501,4,False,GOOD
761,Mont-sur-Marchienne,HOUSE,HOUSE,260000.0,3.0,205.0,INSTALLED,False,,True,,True,800.0,960,3,False,GOOD
762,Lochristi Zeveneken,HOUSE_GROUP,HOUSE_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
763,Lochristi Zeveneken,HOUSE_GROUP,HOUSE_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
764,Woluwe-Saint-Lambert,APARTMENT,PENTHOUSE,398000.0,2.0,107.0,INSTALLED,False,,True,27.0,,,UNKNOWN,3,False,TO_BE_DONE_UP
765,Schaerbeek,APARTMENT,DUPLEX,469000.0,3.0,130.0,HYPER_EQUIPPED,False,,True,6.0,,,,2,False,AS_NEW
766,Namur,HOUSE,HOUSE,275000.0,3.0,170.0,INSTALLED,,,True,20.0,True,80.0,369,3,False,GOOD
767,Hamont-Achel,HOUSE,BUNGALOW,445000.0,3.0,224.0,USA_HYPER_EQUIPPED,,,True,,,,1000,4,,GOOD
768,Kortenberg Erps-Kwerps,HOUSE,HOUSE,435000.0,4.0,200.0,0,,,True,,,,600,4,,
769,Kortenberg Erps-Kwerps,HOUSE,HOUSE,530000.0,3.0,200.0,0,,,True,,,,447,3,,JUST_RENOVATED
770,Kortenberg,APARTMENT,APARTMENT,299000.0,2.0,100.0,0,,,True,,,,UNKNOWN,2,,GOOD
771,,,,,,,,,,,,,,,,,
772,Stekene,HOUSE,VILLA,569000.0,4.0,187.0,HYPER_EQUIPPED,,-1.0,True,25.0,True,,940,4,,GOOD
773,MOERBEKE,HOUSE,HOUSE,218000.0,2.0,170.0,INSTALLED,,-1.0,,,,,465,3,,TO_RENOVATE
774,Andenne,APARTMENT,GROUND_FLOOR,174000.0,2.0,104.0,0,False,,True,22.0,True,50.0,UNKNOWN,2,,AS_NEW
775,Andenne,APARTMENT,DUPLEX,149000.0,1.0,80.0,0,False,,,,True,50.0,UNKNOWN,2,,AS_NEW
776,Andenne,APARTMENT,DUPLEX,124000.0,1.0,55.0,0,False,,,,True,50.0,UNKNOWN,2,,AS_NEW
777,Uccle,APARTMENT,APARTMENT,780000.0,4.0,209.0,,False,,True,10.0,,,UNKNOWN,2,False,TO_RENOVATE
778,Souvret,HOUSE,HOUSE,145000.0,3.0,102.0,SEMI_EQUIPPED,False,,True,42.0,True,216.0,310,3,False,TO_RENOVATE
779,Blankenberge,APARTMENT,FLAT_STUDIO,85000.0,0.0,,,,,True,,,,UNKNOWN,UNKNOWN,,UNKNOWN
780,,,,,,,,,,,,,,,,,
781,Meise,HOUSE,HOUSE,480000.0,3.0,219.0,USA_HYPER_EQUIPPED,False,,True,30.0,True,308.0,398,3,False,GOOD
782,Olen,HOUSE_GROUP,HOUSE_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
783,Mortsel,HOUSE,HOUSE,490000.0,3.0,199.0,INSTALLED,,,True,1.0,True,270.0,379,3,False,GOOD
784,Waremme,HOUSE,MANSION,495000.0,6.0,326.0,INSTALLED,False,,True,102.0,True,380.0,575,2,False,AS_NEW
785,Bruxelles,HOUSE,HOUSE,499000.0,4.0,155.0,HYPER_EQUIPPED,,,True,28.0,True,75.0,210,2,False,GOOD
786,Wezembeek-Oppem,HOUSE,HOUSE,499000.0,3.0,135.0,INSTALLED,False,,True,15.0,True,275.0,559,3,False,TO_BE_DONE_UP
787,Ruddervoorde,HOUSE,VILLA,499000.0,4.0,311.0,INSTALLED,False,,,,True,730.0,1320,4,False,GOOD
788,Gent,HOUSE_GROUP,HOUSE_GROUP,,,,0,False,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
789,Gent,HOUSE_GROUP,HOUSE_GROUP,,,,0,False,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
790,Watermael-Boitsfort,HOUSE,HOUSE,499500.0,3.0,138.0,USA_INSTALLED,False,,True,20.0,True,50.0,100,2,False,GOOD
791,Rixensart Genval,HOUSE,VILLA,500000.0,5.0,265.0,SEMI_EQUIPPED,False,,True,76.0,True,457.0,857,4,False,TO_RENOVATE
792,Stekene,HOUSE_GROUP,HOUSE_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
793,Rixensart Genval,HOUSE,VILLA,515000.0,4.0,176.0,USA_HYPER_EQUIPPED,,,True,,,,362,4,False,GOOD
794,Bierbeek,HOUSE_GROUP,HOUSE_GROUP,,,,0,False,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
795,Tielt-Winge,HOUSE_GROUP,HOUSE_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
796,Assesse,HOUSE_GROUP,HOUSE_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
797,PETIT-ROEULX-LEZ-NIVELLES,HOUSE_GROUP,HOUSE_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
798,Gent,HOUSE_GROUP,HOUSE_GROUP,,,,0,False,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
799,Gent,HOUSE_GROUP,HOUSE_GROUP,,,,0,False,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
800,BRUXELLES,HOUSE_GROUP,HOUSE_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
801,Machelen,HOUSE_GROUP,HOUSE_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
802,Zaventem,HOUSE_GROUP,HOUSE_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
803,Laeken,HOUSE,HOUSE,525000.0,4.0,167.0,INSTALLED,False,,True,5.0,True,70.0,178,2,False,GOOD
804,Anderlecht,HOUSE,APARTMENT_BLOCK,525000.0,3.0,240.0,INSTALLED,False,,True,26.0,True,28.0,131,2,False,GOOD
805,Uccle,HOUSE,HOUSE,525000.0,3.0,148.0,HYPER_EQUIPPED,False,,True,13.0,True,50.0,2932,3,False,GOOD
806,Saint-Josse-ten-Noode,HOUSE,APARTMENT_BLOCK,530000.0,3.0,250.0,NOT_INSTALLED,False,,,,,,110,2,False,TO_BE_DONE_UP
807,Hamme,HOUSE_GROUP,HOUSE_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
808,Rhode-Saint-Genese,HOUSE,HOUSE,545000.0,5.0,215.0,USA_HYPER_EQUIPPED,False,,True,35.0,True,733.0,979,2,True,AS_NEW
809,Wetteren,HOUSE,BUNGALOW,545000.0,3.0,198.0,HYPER_EQUIPPED,,,True,,,,627,4,False,AS_NEW
810,Aalter,HOUSE,HOUSE,650000.0,3.0,153.0,INSTALLED,False,,True,,,,1751,4,False,GOOD
811,Roeselare,APARTMENT,APARTMENT,349000.0,2.0,94.0,INSTALLED,False,,True,,,,,2,False,GOOD
812,Oostende,APARTMENT,APARTMENT,170000.0,2.0,85.0,INSTALLED,False,,True,5.0,,,,2,False,GOOD
813,Ruddervoorde,HOUSE,HOUSE,526250.0,3.0,198.0,INSTALLED,False,,,,True,487.0,5352,4,False,AS_NEW
814,Meerle,HOUSE,HOUSE,699000.0,4.0,300.0,INSTALLED,False,,True,60.0,True,597.0,1093,4,False,AS_NEW
815,Molenbeek-Saint-Jean,APARTMENT,APARTMENT,249000.0,2.0,100.0,INSTALLED,False,,True,8.0,,,UNKNOWN,3,,
816,Molenbeek-Saint-Jean,APARTMENT,APARTMENT,249000.0,2.0,100.0,INSTALLED,False,,True,4.0,,,UNKNOWN,3,,
817,Berchem,APARTMENT,APARTMENT,295000.0,3.0,120.0,SEMI_EQUIPPED,,-1.0,True,20.0,,,,,,TO_RENOVATE
818,Lier,HOUSE,HOUSE,649000.0,5.0,,SEMI_EQUIPPED,,-1.0,,,,,12200,UNKNOWN,,UNKNOWN
819,Aiseau-Presles,APARTMENT,APARTMENT,169000.0,2.0,87.0,SEMI_EQUIPPED,False,,True,,,,,3,,TO_RENOVATE
820,Bruxelles,APARTMENT,DUPLEX,259000.0,2.0,115.0,INSTALLED,False,,,,,,UNKNOWN,2,False,TO_BE_DONE_UP
821,Tournai,HOUSE,HOUSE,89000.0,2.0,77.0,0,,,True,,,,380,2,,TO_RENOVATE
822,Sint-Andries,HOUSE,HOUSE,393000.0,3.0,,INSTALLED,,,,,,,237,,,GOOD
823,Leuven,APARTMENT,APARTMENT,285000.0,1.0,60.0,INSTALLED,False,,,,,,,2,,GOOD
824,Kortrijk,HOUSE,HOUSE,275000.0,4.0,184.0,INSTALLED,False,,,,,,113,2,False,GOOD
825,Pelt,HOUSE,HOUSE,298000.0,3.0,190.0,INSTALLED,,,,,True,,600,,False,
826,Zarlardinge,HOUSE,VILLA,875000.0,4.0,381.0,INSTALLED,False,,True,,True,,1821,4,False,AS_NEW
