,url,region,province,locality,zip_code,property_type,property_subtype,price,number_rooms,living_area,kitchen,furnished,fireplace,terrace,terrace_area,garden,garden_area,surface_land,number_facades,swimming_pool,building_state
1136,https://www.immoweb.be/en/classified/house/for-sale/halle/1500/10685495,Flanders,Flemish Brabant,Halle,1500,HOUSE,HOUSE,319000.0,3.0,143.0,0,,,True,,,,168,2,,GOOD
1137,https://www.immoweb.be/en/classified/house/for-sale/ixelles/1050/10685492,Brussels,Brussels,Ixelles,1050,HOUSE,HOUSE,795000.0,5.0,200.0,USA_HYPER_EQUIPPED,,1.0,True,30.0,,,230,2,,GOOD
1138,https://www.immoweb.be/en/classified/apartment/for-sale/etterbeek/1040/10668577,Brussels,Brussels,Etterbeek,1040,APARTMENT,APARTMENT,450000.0,2.0,150.0,0,,-1.0,True,11.0,,,UNKNOWN,2,,TO_RENOVATE
1139,https://www.immoweb.be/en/classified/apartment/for-sale/etterbeek/1040/10668576,Brussels,Brussels,Etterbeek,1040,APARTMENT,APARTMENT,480000.0,3.0,162.0,0,,-1.0,True,13.0,,,UNKNOWN,2,,TO_RENOVATE
1140,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/waregem/8790/10662670,Flanders,West Flanders,Waregem,8790,HOUSE_GROUP,HOUSE_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
1141,https://www.immoweb.be/en/classified/house/for-sale/dendermonde/9200/10659704,Flanders,East Flanders,Dendermonde,9200,HOUSE,HOUSE,599000.0,4.0,378.0,INSTALLED,,-1.0,,,True,,571,3,,TO_BE_DONE_UP
1142,https://www.immoweb.be/en/classified/house/for-sale/knokke-heist/8300/10493036,Flanders,West Flanders,Knokke-Heist,8300,HOUSE,HOUSE,1250000.0,5.0,182.0,USA_HYPER_EQUIPPED,False,,True,,,,145,2,False,GOOD
1143,https://www.immoweb.be/en/classified/house/for-sale/libin/6890/10657263,Wallonie,Luxembourg,Libin,6890,HOUSE,HOUSE,299900.0,3.0,124.0,NOT_INSTALLED,False,,True,8.0,True,257.0,320,3,False,AS_NEW
1144,https://www.immoweb.be/en/classified/house/for-sale/asse%20zellik/1731/10671473,Flanders,Flemish Brabant,Asse Zellik,1731,HOUSE,HOUSE,485000.0,6.0,290.0,HYPER_EQUIPPED,,,True,,True,701.0,701,2,False,TO_BE_DONE_UP
1145,https://www.immoweb.be/en/classified/house/for-sale/drogenbos/1620/10671527,Flanders,Flemish Brabant,Drogenbos,1620,HOUSE,HOUSE,495000.0,3.0,161.0,INSTALLED,,-1.0,True,,,,303,3,,GOOD
